Sentence_id,Text,class_label,y
11337,"We've got young people who have got the grades and the will and the drive to go to college, but they just don't have the money.",No,0
30313,And so I know that this campaign has caused some questioning and worries on the part of many leaders across the globe.,No,0
19099,"Now, let's balance the budget and protect Medicare, Medicaid, education and the environment.",No,0
33964,I'd like to mention one thing.,No,0
13150,"And to take a chance uh - now be - and not make every effort that we could make to provide for some control over these weapons, I think would be a great mistake.",No,0
10612,"You know, you may have seen your health care premiums go up.",No,0
18005,And I made some tough decisions.,No,0
19916,There won't be 10 millionaires and 14 lawyers in the cabinet.,No,0
10170,"That's what we need more of, Candy.",No,0
17507,"And if it's rape, how do you draw moral judgments on that?",No,0
5733,"But when it comes to economic policies, essentially what you're proposing is eight more years of the same thing.",No,0
2110,"And, finally, Medicaid to states?",No,0
1017,Now we will probably need to increase that to same extent.,No,0
20158,They're the ones who have the challenges and they are people out there making predictions that it's not going to be the same.,No,0
13343,One of the additional powers that I would suggest would be seizure.,No,0
27204,"And for that to happen, we have to strengthen our economy here at home.",No,0
25904,That's why I brought the leaders to Washington a few days ago.,No,0
26856,If we do those things we will build that bridge to the 21st Century and the greatest country in history will be even greater.,No,0
7859,I've been critical of this Administration and I've been critical of the President.,No,0
22249,"Now, as long as we put up with that, that's what you're going to get.",No,0
19031,That's the country that I'm going to fight for.,No,0
22441,"Sure, you can do that with Congress.",No,0
3935,"Yes, I think we need more troops.",No,0
25218,And we know what happened.,No,0
20476,"I know the oil companies have been itching to do that, but it is not the right thing for the future.",No,0
33391,"Now, what I am also arguing is that bringing undocumented immigrants out from the shadows, putting them into the formal economy will be good, because then employers can't exploit them and undercut Americans' wages.",No,0
9159,"When you come out in 2014, I presume I'm going to be president.",No,0
24845,"The US came together as we haven't in many, many years.",No,0
18131,"Now, that is not the judgment that a president of the United States ought to make.",No,0
21178,We need to say we each need to be responsible for what we do.,No,0
24225,And so I'll just be asking for support to get that put into effect.,No,0
7992,And he defined that as someone who uses beans in place of meat.,No,0
15901,"But when I was in that little church across the river from Washington and saw our grandchild christened in our faith, I was very pleased indeed that the mother had not aborted that child, and put the child up for adoption.",No,0
23151,Maybe you think that makes sense.,No,0
8056,Some of them have been Democrats and some of them have been Republicans.,No,0
16508,And this is what the Republicans have done to us.,No,0
20431,I want to develop the coal resources in America.,No,0
20244,And I also think it's very important to go to the next stage of welfare reform.,No,0
32249,We're going to block grant into Medicaid into the states...,No,0
8570,"First of all, I think it is well to put in perspective where we really do stand with regard to the Soviet Union in this whole matter of growth.",No,0
25531,But this administration time and time again has lost its way in this field.,No,0
20146,And I'm glad we're going in the right direction.,No,0
24345,"And we are helping democracy, Ross.",No,0
3235,That's one of the problems with this administration's so-called shuttle diplomacy.,No,0
28827,"And incidentally, an excellent -- I mean, I think our success over the last eight years has not been in spite of diversity but because of it.",No,0
6632,"Let me come back in one moment to that, but I want to speak for a second, if I can, to what the president said about fiscal responsibility.",No,0
13920,Everybody says it'll create jobs.,No,0
4229,They were just waiting to seize the opportunity.,No,0
14746,"Now, the question is, can we win?",No,0
660,"I'm not going to do that, because I think the jury is still out on the Soviet experiment.",No,0
11268,"But the Russians, I think we can deal with them but they've got to understand that they're facing a very firm and determined United States of America that will defend our interests and that of other countries in the world.",No,0
1666,But we all know that we've still got a lot of work to do.,No,0
6525,One of the reasons I'm such a strong believer in legal reform is so that people aren't afraid of producing a product that is necessary for the health of our citizens and then end up getting sued in a court of law.,No,0
8832,He's talking about that fantastic plan of the Administration to take thousands and thousands of square miles out in the Western states.,No,0
5813,And I think Congressman Lewis' point was that we have to be careful about how we deal with our supporters.,No,0
17756,"Mr. Reagan, as you saw tonight -- President Reagan takes the position it will disappear by magic.",No,0
23280,"I'm pledging I will not raise taxes; I'm giving a tax cut to the people earning less than $200,000 a year.",No,0
5976,"We can store and reprocess spent nuclear fuel, Senator Obama, no problem.",No,0
33178,"It's all about the Constitution of -- of -- and so important, the Constitution the way it was meant to be.",No,0
11198,"General Petraeus has just taken over a position of responsibility, where he has the command and will really set the tone for the strategy and tactics that are used.",No,0
10341,"I'm a guy who wants to help with the experience I have, the American people.",No,0
19979,"You've got one parent working for the government, the other parent working for the family.",No,0
1404,And uh - that would be another factor that I would follow.,No,0
33174,"They are great scholars in all cases, and they're people of tremendous respect.",No,0
8258,"I come out of the Democratic party, which in this century has produced Woodrow Wilson and Franklin Roosevelt and Harry Truman, and which supported and sustained these programs which I've discussed tonight.",No,0
25899,"It had 26 separate maps they had to sign, literally thousands of delineations of who would do what on the West Bank, and I believe if the parties will get together and in a good-faith manner make that agreement, that they'll be able to do it if we cannot impose a peace on the Middle East.",No,0
10148,"Wherever possible the -- the benefit of having two parents in the home, and that's not always possible.",No,0
29219,"How do you bring back -- specifically bring back jobs, American manufacturers?",No,0
350,I'd say around 30 percent.,No,0
34356,"We've got to get back to rebuilding the middle class, the families of America.",No,0
7584,He points to the fact that I visited Cuba while Mr. Batista was in power there.,No,0
21150,"I believe that -- I believe they've moved that sign, ""The buck stops here"" from the Oval Office desk to ""The buck stops here"" on the Lincoln bedroom.",No,0
14308,I think we're making progress here.,No,0
1673,Are we going to double on top-down economic policies that helped to get us into this mess or do we embrace a new economic patriotism that says America does best when the middle class does best?,No,0
2181,"It's called premium support, but it's understood to be a voucher program.",No,0
9900,"And what I've also said is for young people who come here, brought here often times by their parents.",No,0
1748,And so the question is how to get them going again.,No,0
21097,I want to get a better rate of return for your own money than the paltry 2% that the current Social Security Trust gets today.,No,0
18732,And I think this will work.,No,0
5668,That's not the way we cut -- we'll cut out all the pork.,No,0
18155,What message does that send to our allies?,No,0
12467,I would like to unite this country to get an agenda done that will speak to the hopes and aspirations of the future.,No,0
26708,"And when it comes to public ethics, he has a responsibility.",No,0
10119,Most recently out in Aurora.,No,0
26848,"Because you're going to decide whether we're going to balance the budget now, but protect Medicare, Medicaid, education and the environment.",No,0
1335,"And in those two cases, I would favor them.",No,0
9861,And let me step back and tell you what I would like to do with our immigration policy broadly and include an answer to your question.,No,0
7937,We don't know what the future's going to bring.,No,0
14433,"And I cannot let that stand, because it isn't true.",No,0
27244,"And when it comes to our economy here at home, I know what it takes to create 12 million new jobs and rising take-home pay.",No,0
34350,"I take that very seriously, because I do think it's one of the issues we've got to come to grips with.",No,0
13752,"And if they can't do it, if the Congress can't do it, let them then have to do it across the board.",No,0
13679,And I said I make a mistake.,No,0
5538,"You were going to put him in a higher tax bracket which was going to increase his taxes, which was going to cause him not to be able to employ people, which Joe was trying to realize the American dream.",No,0
6774,What is an article of faith for me is not something that I can legislate on somebody who doesn't share that article of faith.,No,0
32432,And the reason they blame Russia because they think they're trying to tarnish me with Russia.,No,0
1008,I don't think that uh - America can go on a big spending spree with a whole lot of new programs uh - that would add significantly to the federal budget.,No,0
21405,The American people asked me to get into it.,No,0
18292,"Some people don't like the fact that I stood up to say no, but I did.",No,0
34073,"You know, President Obama said the other day when you're whining before the game is even finished...",No,0
18597,"I reject this notion -- and I'm suggesting my opponent isn't -- I reject the notion that some say that if you're Muslim you can't free, you don't desire freedom.",No,0
5852,And what is important is making sure that we disagree without being disagreeable.,No,0
