Verb,Verb_Type_Index
scared,7
uninspected,3
claiming,5
got,3
exaggerating,5
assuming,8
proposes,5
consume,4
seventy,4
covered,3
unleash,4
topped,3
re-engaged,3
delete,4
compared,8
referenced,5
collaborate,5
compelling,8
boiled,3
mccain,10
dismiss,5
measuring,8
apologizes,5
accusing,5
squander,4
bespoke,4
al,2
dependent,3
authorize,3
coddled,7
clarified,3
wrong,8
admired,8
modernize,3
either,10
characterize,8
cleaning,1
slaughtered,4
lost,3
fixed,3
overdeployed,3
land,6
steal,1
fix,3
beloved,7
excited,7
recruiting,3
skipping,6
return,3
filled,3
abused,3
drew,1
graduating,3
eighteen,4
poland,6
arguing,5
unsatisfied,7
try,2
shouted,5
taken,3
requesting,5
discussed,5
assist,1
starved,3
seems,8
boarding,6
driven,6
rice,3
sicker,3
mark,1
test,8
cia,5
preferred,3
foe,10
fall,3
rectified,3
befit,9
revolutionized,2
seek,2
overturned,3
chopped,4
starting,3
died,3
retained,3
unemployed,3
upholding,3
repressed,8
cared,7
earl,10
rejected,3
overruled,3
prostitution,1
lee,8
represents,10
listed,3
jumping,6
allen,4
shirk,7
executed,4
distribute,3
latin,5
wound,3
comfort,3
tell,5
found,3
hamstring,3
remembers,8
endowed,3
interprets,8
tend,3
killed,4
safeguard,3
turn,6
dash,6
washington,6
em,5
abandoned,3
surrendered,3
bordered,3
overlooking,8
beamed,6
catholic.,10
russian,1
enough,3
realize,8
manufacture,4
cornered,3
dad,1
deserves,3
pledged,5
typifies,2
indicate,5
issue,5
proving,2
clerked,2
defeating,1
collecting,1
oftentimes,10
trapping,1
condone,2
mastered,2
tort,1
eisenhower,10
embargo,3
mentioned,5
think,2
pooling,3
lectured,5
revised,3
increase,3
weigh,8
inspire,7
upgraded,3
candid,8
quitting,3
well,8
withdrawing,3
cooperated,3
abstained,3
link,10
resume,3
starve,3
owes,3
bust,4
mobilized,3
cincinnati,10
binding,3
reinforces,3
residing,3
suffered,3
replying,5
reimburse,3
invent,4
sacrificed,3
greet,5
named,9
differ,8
executes,3
blurring,8
prove,2
robbing,1
generalized,3
depriving,3
encourage,5
prayer,5
transitioning,3
delineate,8
missouri,1
ballooning,4
formosa,3
gotten,3
integrating,3
putin,1
frighten,7
dig,1
contaminated,3
refocused,8
possibly,8
predict,2
site,3
provoked,7
nourish,3
staffing,4
reprocess,3
insures,3
lit,3
bid,5
mediate,5
refused,3
pay,6
trusted,8
shot,4
voting,10
won,3
vetting,2
purpose,10
resort,3
sworn,5
winning,3
foisted,3
seeking,2
bedeviling,2
recorded,4
submitted,5
studying,2
reject,5
deregulate,3
contribute,2
committing,1
organize,2
contained,3
batista,6
reletting,3
stifle,3
compromise,2
mischaracterize,2
hammered,1
threatens,5
promoting,5
find,8
cry,7
balanced,3
praised,5
wish,7
completing,3
reshape,3
trouble,7
helping,1
stationed,3
stopped,3
acquaint,5
increasing,3
reveal,5
plotting,2
dissolved,3
exists,9
stem,4
squandered,4
lifting,1
blessing,8
fleeing,6
defined,3
sorry,7
saddam,1
pray,5
terminate,4
published,5
expected,3
intensify,3
gaining,3
notified,5
creep,6
move,6
invading,1
off,6
contributed,3
avoided,1
decreasing,3
estimate,8
garner,3
child,3
forming,4
torn,3
handle,1
assault,1
revenue,3
watt,4
requiring,2
promised,5
controlled,3
enlist,3
star-warring,4
chose,2
challenged,3
yassir,6
all,9
discouraged,7
struggled,7
attitude,8
profess,5
whets,3
temper,3
tired,3
delayed,3
singled,1
costing,3
subsidize,3
diminished,3
extradite,3
presided,10
rein,6
undermined,4
follows,6
kill,4
instill,5
north,6
war,4
suggested,5
china,4
squeeze,1
looking,8
medicare,3
facilitated,3
grant,3
created,4
rebut,5
coordinating,5
stalking,1
hanging,3
settled,3
vote,5
saying,5
shipping,7
acknowledge,5
bubbling,3
federalizing,3
hack,4
factor,3
alike,9
confronted,8
denying,5
recruit,4
deleting,4
education,2
knocked,1
sign,5
cover,3
batting,1
midnight,3
implodes,4
fool,2
defied,7
ashamed,7
happening,3
church,3
offshore,6
van,3
unbalancing,3
weighs,3
distracted,8
rescued,3
terrorist,4
vladimir,1
baghdad,3
stood,3
rick,1
participating,3
conserve,3
foresee,8
supposing,2
prevail,3
resisted,1
demand,5
nitpicking,8
frightening,8
crave,7
vandalized,4
relates,5
churning,3
feel,8
neglect,1
weakened,3
supporting,2
use,3
jerk,1
spend,3
refinance,3
kicking,6
segueing,6
trust,7
rewarding,8
climbed,6
applying,3
question,5
communizing,5
end,3
recite,5
add,4
expressing,5
taxing,3
suggests,5
honest,8
founded,4
diverts,6
left,6
pledging,5
slows,3
pennsylvania,10
learning,2
shrinking,3
deteriorating,3
cowboy,6
korea,10
gather,1
writing,4
tackle,1
tbilisi,6
evaluate,8
echoed,5
shift,6
spewing,3
using,5
troop,6
average,3
reprimanded,5
intercept,1
warn,5
adopted,3
unleashing,4
arkansas,10
gave,3
harassed,2
deport,3
trading,4
call,5
tending,3
matsu,3
debate,5
society,3
believed,2
imported,3
vetted,8
engaging,5
geared,3
pending,3
succeed,3
whining,5
indicating,5
expressed,5
put,3
overrun,3
squeezed,3
enrich,3
reminded,5
spoken,5
time,10
constructing,4
elizabeth,10
battling,1
conduct,5
shouting,5
transparency,3
hike,6
performed,3
sunk,3
costed,3
gratifying,7
fail,3
grew,3
abide,3
concludes,3
entered,6
johnny,6
contrasted,8
appointed,3
loading,3
concede,3
foster,3
ratified,3
denouncing,5
attempt,2
exported,6
searched,8
convince,5
insulate,3
appoint,3
lower,3
testified,5
worrying,8
symbolic,5
favor,5
recalling,2
shuffling,6
declining,3
beholden,8
slinging,1
released,3
subpoenaed,6
invade,1
afghanistan,10
expensive,3
indict,5
measure,8
started,3
decide,2
endorsed,5
rising,3
shook,3
commits,1
comply,3
organizing,2
lied,5
fashioned,4
k,1
afford,3
fed,3
discount,4
prescribing,5
ohio,10
grief,7
rotting,3
revita1ize,3
endorses,5
plagued,3
landale,6
described,8
contracted,3
narrowing,3
upset,7
congratulate,5
staffed,3
sought,3
allotted,3
boeing,6
press,1
invented,4
camping,3
subtract.,4
paint,4
relative,8
anticipating,8
concentrating,8
trained,3
inherited,3
showed,5
respected,8
lingering,3
unbalance,3
distinguishes,8
surveyed,8
sucking,1
flow,3
ducking,6
down,6
benefitted,3
connects,4
arming,4
finished,3
revert,5
transform,3
weeding,4
donã¢â‚¬â,6
allawi,3
resolving,2
delivered,5
discussing,5
join,3
load,1
specialized,3
grasp,1
approves,3
paygo,10
bailing,1
inform,5
foretold,5
sort,3
ordering,5
principled,3
misunderstand,8
sanction,5
retreating,6
enduring,3
slaughtering,4
secured,3
belief,8
twining,1
raise,3
disagree,5
mandating,3
welcoming,5
plow,1
robs,1
liberty,3
abuse,2
advertise,5
reining,1
debunked,5
kicked,1
challenging,3
swallow,3
sell,3
hardening,3
suggest,5
surrounding,8
flotilla,6
overriding,3
risked,3
loved,7
obtain,3
unload,1
reconstitute,3
m-,2
assure,5
stretched,3
rectify,3
antismoking,3
god,10
bridge,4
volunteered,1
urged,5
click,3
ob/gyn,1
purchased,3
portend,5
owning,3
overturn,3
reversing,3
pb,1
reduced,3
close,3
corrected,3
mimicked,5
exhausted,3
administered,3
recall,2
ending,3
departed,6
kim,10
restrain,1
twelve,4
interfere,2
make,4
revitalize,3
nancy,10
noticed,8
sleep,3
dressed,3
cuba,6
illustrates,5
deciding,2
assn,5
widening,3
master,2
crippling,3
continuing,3
reading,8
re-establish,3
told,5
genocide,4
stymied,3
kidded,5
detail,8
acknowledged,5
humbled,8
declared,5
otherwise,3
salute,5
preceded,3
reach,6
affect,7
dwelling,3
bless,5
untarnished,3
lack,3
rid,4
fm,5
privilege,3
lecture,5
scowl,7
confess,5
employer-based,4
incentive,4
busted,3
wrapped,3
used,3
privileged,3
assaulted,1
containing,3
updating,3
focussed,8
advocating,5
khalid,3
discover,8
multiplying,2
checking,8
e-verify,3
clarify,5
ongoing,3
replace,3
rely,8
underfunded,3
get,3
prepare,2
fixing,1
equipped,3
funded,3
incarcerated,3
abhorred,7
incinerate,4
strange,8
severalfold,3
roaring,8
spread,3
adapting,3
distinguished,8
devoted,2
'd,10
co-sponsored,3
testify,5
proliferate,4
appropriate,3
lead,6
else,10
faith,7
ignited,3
radicalize,2
bombed,4
wiretapping,6
destroy,4
modeled,1
buying,3
preceding,3
command,5
exporting,6
bonded,3
crushed,3
warned,5
defund,4
retreat,6
advocate,5
leading,6
hundred,10
freeing,3
copy,4
disavowed,2
borrowing,3
respecting,8
compose,4
talking,5
disadvantaged,3
experienced,8
insinuating,5
spy,8
misquoted,5
admire,8
cheat,7
looked,8
attacking,1
united,3
ancient,3
invested,3
granted,3
mind-boggling,8
passed,6
skyrocketing,3
proposed,5
hitting,1
advantage,3
sat,3
knock,1
facing,8
captured,3
pull,1
wrenching,1
praying,5
twisted,3
threatened,5
contradicts,5
online,10
tied,3
guiding,2
embarked,6
tearing,4
fueling,3
realized,8
flying,6
came,6
getting,3
ronald,10
divorce,3
scheduled,3
congress,5
rigged,3
progressing,3
george,10
refrain,3
itã¢â‚¬â,3
falwell,5
landed,6
cracking,4
evolve,3
thumbprint,1
defended,1
training,1
confirm,5
second,3
abolished,4
wrestle,1
pressing,1
liberated,3
operated,3
take,1
repeated,3
retrained,3
misconstrued,8
weakening,3
exceeds,3
becoming,3
figured,2
licking,1
humiliating,10
nibbling,1
execute,3
answered,5
exhibited,3
interrupt,5
contain,3
indicted,3
convicted,3
outspending,3
re-elect,3
pow,4
indicated,5
ferguson,10
declare,5
waver,7
standing,3
quit,3
weaponry,4
hang,3
evaluated,2
overspend,3
enhance,8
withering,3
promotes,3
outpaced,6
located,9
conducted,10
morphed,3
wonder,8
sixty,4
dropped,3
planning,2
iraqi,10
seventh,3
impounded,3
constitute,4
influenced,10
celebrate,7
spotted,8
installed,3
enlarged,3
susie,5
dnc,6
raiding,4
captain,1
hired,3
bring,6
predicted,3
projected,3
pandering,5
finish,3
stating,5
apprehended,8
reeducate,2
continue,3
blowing,1
myself,10
shred,4
straight,6
managing,2
partnering,3
convinced,2
.50,4
espoused,3
involve,2
mexico,10
apologized,5
communicating,5
stretching,1
sent,5
cited,5
november,3
casting,4
act,5
strengthening,3
muddle,3
clicked,3
interesting,8
hiring,3
applaud,5
finalize,3
reinventing,4
reformed,3
thriving,3
constrained,3
dredge,3
contains,3
lagging,3
mortgaged,3
listening,8
phase,3
adhere,3
afghan,3
implying,5
wait,3
forced,3
screen,8
piling,4
beaten,3
pardon,10
side,6
kind,9
limiting,3
thank,5
create,4
switch,3
languishing,3
encouraging,5
stalled,3
accustomed,3
exiled,3
broke,3
sickened,7
ai,10
lambasted,5
resist,2
button,1
forget,8
farming,4
employing,3
shaped,3
inhibiting,3
violated,3
surrender,3
doe,1
tapped,1
swept,3
